initial_claims,continued_claims,week_ending,Appalachia
95,498,2020-01-04,No
64,580,2020-01-11,No
51,472,2020-01-18,No
42,402,2020-02-01,No
50,391,2020-02-08,No
51,382,2020-02-15,No
37,392,2020-02-22,No
74,406,2020-02-29,No
30,411,2020-03-07,No
33,371,2020-03-14,No
611,355,2020-03-21,No
2210,848,2020-03-28,No
1063,2787,2020-04-04,No
631,3651,2020-04-11,No
411,3927,2020-04-18,No
277,3901,2020-04-25,No
214,3629,2020-05-02,No
194,3340,2020-05-09,No
168,2980,2020-05-16,No
148,2631,2020-05-23,No
97,2202,2020-05-30,No
89,1845,2020-06-06,No
96,1568,2020-06-13,No
102,1367,2020-06-20,No
93,1265,2020-06-27,No
151,1239,2020-07-04,No
167,1230,2020-07-11,No
96,1225,2020-07-18,No
105,1136,2020-07-25,No
68,1020,2020-08-01,No
65,982,2020-08-08,No
70,894,2020-08-15,No
84,818,2020-08-22,No
155,780,2020-08-29,No
74,851,2020-09-05,No
46,749,2020-09-12,No
48,709,2020-09-19,No
55,689,2020-09-26,No
55,504,2020-10-03,No
62,419,2020-10-10,No
58,402,2020-10-17,No
164,377,2020-10-24,No
81,462,2020-10-31,No
110,368,2020-11-07,No
81,462,2020-11-14,No
123,397,2020-11-21,No
121,421,2020-11-28,No
174,469,2020-12-05,No
137,575,2020-12-12,No
107,517,2020-12-19,No
209,550,2020-12-26,No
209,713,2021-01-01,No
