initial_claims,continued_claims,week_ending,Appalachia
105,635,2020-01-04,Yes
81,664,2020-01-11,Yes
67,679,2020-01-18,Yes
52,656,2020-02-01,Yes
63,607,2020-02-08,Yes
56,622,2020-02-15,Yes
51,618,2020-02-22,Yes
45,606,2020-02-29,Yes
59,598,2020-03-07,Yes
65,592,2020-03-14,Yes
759,566,2020-03-21,Yes
908,1152,2020-03-28,Yes
778,1886,2020-04-04,Yes
593,2427,2020-04-11,Yes
460,2691,2020-04-18,Yes
341,2876,2020-04-25,Yes
206,2719,2020-05-02,Yes
200,2624,2020-05-09,Yes
171,2412,2020-05-16,Yes
124,2201,2020-05-23,Yes
117,1902,2020-05-30,Yes
111,1793,2020-06-06,Yes
107,1684,2020-06-13,Yes
91,1621,2020-06-20,Yes
115,1566,2020-06-27,Yes
111,1545,2020-07-04,Yes
119,1559,2020-07-11,Yes
80,1525,2020-07-18,Yes
96,1477,2020-07-25,Yes
102,1525,2020-08-01,Yes
66,1378,2020-08-08,Yes
108,1422,2020-08-15,Yes
74,1385,2020-08-22,Yes
61,1312,2020-08-29,Yes
73,1217,2020-09-05,Yes
62,1212,2020-09-12,Yes
70,1173,2020-09-19,Yes
72,1222,2020-09-26,Yes
81,809,2020-10-03,Yes
87,774,2020-10-10,Yes
63,680,2020-10-17,Yes
94,630,2020-10-24,Yes
98,611,2020-10-31,Yes
122,650,2020-11-07,Yes
98,611,2020-11-14,Yes
154,640,2020-11-21,Yes
134,687,2020-11-28,Yes
213,675,2020-12-05,Yes
173,775,2020-12-12,Yes
162,748,2020-12-19,Yes
137,755,2020-12-26,Yes
152,899,2021-01-02,Yes
196,1075,2021-01-09,Yes
196,1140,2021-01-16,Yes
220,1098,2021-01-23,Yes
227,854,2021-01-30,Yes
676,832,2021-02-06,Yes
626,898,2021-02-13,Yes
523,874,2021-02-20,Yes
500,972,2021-02-27,Yes
533,868,2021-03-06,Yes
442,866,2021-03-13,Yes
329,821,2021-03-20,Yes
193,814,2021-03-27,Yes
176,742,2021-04-03,Yes
88,663,2021-04-10,Yes
65,588,2021-04-17,Yes
74,549,2021-04-24,Yes
46,524,2021-05-01,Yes
88,453,2021-05-08,Yes
90,440,2021-05-15,Yes
76,436,2021-05-22,Yes
141,392,2021-05-29,Yes
463,409,2021-06-05,Yes
170,441,2021-06-12,Yes
